ts_utc,price,strike,diff,yes_mid,no_mid,minutes_left,seconds_left,time_left_frac,log_rv_15m,log_rv_1h,log_rv_4h,log_rv_rem_hat,prob_up_model
2026-01-13T20:00:11.239502+00:00,2.1403,2.1397,0.0005999999999999339,0.51,0.49,59,48,0.9966666666666667,,,,,
2026-01-13T20:00:12.239871+00:00,2.1405,2.1397,0.0007999999999999119,0.51,0.485,59,47,0.9963888888888889,,,,,
2026-01-13T20:00:13.239899+00:00,2.1409,2.1397,0.0011999999999998678,0.52,0.48,59,46,0.9961111111111111,,,,,
2026-01-13T20:00:14.240061+00:00,2.1409,2.1397,0.0011999999999998678,0.52,0.485,59,45,0.9958333333333333,,,,,
2026-01-13T20:00:15.240140+00:00,2.1408,2.1397,0.001100000000000101,0.51,0.485,59,44,0.9955555555555555,,,,,
2026-01-13T20:00:16.240527+00:00,2.1408,2.1397,0.001100000000000101,0.515,0.485,59,43,0.9952777777777778,,,,,
2026-01-13T20:00:17.240818+00:00,2.1408,2.1397,0.001100000000000101,0.52,0.48,59,42,0.995,,,,,
2026-01-13T20:00:18.241160+00:00,2.1412,2.1397,0.0015000000000000568,0.525,0.475,59,41,0.9947222222222222,,,,,
2026-01-13T20:00:19.241456+00:00,2.1414,2.1397,0.0017000000000000348,0.525,0.475,59,40,0.9944444444444445,,,,,
2026-01-13T20:00:20.241809+00:00,2.1413,2.1397,0.0016000000000002679,0.51,0.5,59,39,0.9941666666666666,,,,,
2026-01-13T20:00:21.242111+00:00,2.1414,2.1397,0.0017000000000000348,0.52,0.495,59,38,0.9938888888888889,,,,,
2026-01-13T20:00:22.242161+00:00,2.1415,2.1397,0.0018000000000002458,0.515,0.485,59,37,0.9936111111111111,,,,,
2026-01-13T20:00:23.242223+00:00,2.1415,2.1397,0.0018000000000002458,0.515,0.485,59,36,0.9933333333333333,,,,,
2026-01-13T20:00:24.242465+00:00,2.1415,2.1397,0.0018000000000002458,0.51,0.49,59,35,0.9930555555555556,,,,,
2026-01-13T20:00:25.242765+00:00,2.1415,2.1397,0.0018000000000002458,0.51,0.49,59,34,0.9927777777777778,,,,,
2026-01-13T20:00:26.243104+00:00,2.141,2.1397,0.0013000000000000789,0.495,0.505,59,33,0.9925,,,,,
2026-01-13T20:00:27.243419+00:00,2.1411,2.1397,0.0013999999999998458,0.505,0.495,59,32,0.9922222222222222,,,,,
2026-01-13T20:00:28.243832+00:00,2.1411,2.1397,0.0013999999999998458,0.495,0.49,59,31,0.9919444444444444,,,,,
2026-01-13T20:00:29.244335+00:00,2.1415,2.1397,0.0018000000000002458,0.515,0.485,59,30,0.9916666666666667,,,,,
2026-01-13T20:00:30.244403+00:00,2.1414,2.1397,0.0017000000000000348,0.51,0.49,59,29,0.9913888888888889,,,,,
2026-01-13T20:00:31.244563+00:00,2.1416,2.1397,0.0019000000000000128,0.505,0.495,59,28,0.9911111111111112,,,,,
2026-01-13T20:00:32.244969+00:00,2.1417,2.1397,0.002000000000000224,0.505,0.495,59,27,0.9908333333333333,,,,,
2026-01-13T20:00:33.245137+00:00,2.1418,2.1397,0.0020999999999999908,0.525,0.475,59,26,0.9905555555555555,,,,,
2026-01-13T20:00:34.245611+00:00,2.1422,2.1397,0.0024999999999999467,0.525,0.47,59,25,0.9902777777777778,,,,,
2026-01-13T20:00:35.246094+00:00,2.1419,2.1397,0.002200000000000202,0.51,0.495,59,24,0.99,,,,,
2026-01-13T20:00:36.246245+00:00,2.1415,2.1397,0.0018000000000002458,0.515,0.495,59,23,0.9897222222222222,,,,,
2026-01-13T20:00:37.246511+00:00,2.1417,2.1397,0.002000000000000224,0.505,0.485,59,22,0.9894444444444445,,,,,
2026-01-13T20:00:38.246549+00:00,2.142,2.1397,0.0022999999999999687,0.505,0.495,59,21,0.9891666666666666,,,,,
2026-01-13T20:00:39.246646+00:00,2.1412,2.1397,0.0015000000000000568,0.495,0.5,59,20,0.9888888888888889,,,,,
2026-01-13T20:00:40.246676+00:00,2.1414,2.1397,0.0017000000000000348,0.505,0.5,59,19,0.9886111111111111,,,,,
2026-01-13T20:00:41.247010+00:00,2.1416,2.1397,0.0019000000000000128,0.525,0.475,59,18,0.9883333333333333,,,,,
2026-01-13T20:00:42.247281+00:00,2.1418,2.1397,0.0020999999999999908,0.525,0.475,59,17,0.9880555555555556,,,,,
2026-01-13T20:00:43.247653+00:00,2.1419,2.1397,0.002200000000000202,0.525,0.475,59,16,0.9877777777777778,,,,,
2026-01-13T20:00:44.247898+00:00,2.1417,2.1397,0.002000000000000224,0.5,0.5,59,15,0.9875,,,,,
2026-01-13T20:00:45.248007+00:00,2.1412,2.1397,0.0015000000000000568,0.495,0.505,59,14,0.9872222222222222,,,,,
2026-01-13T20:00:46.248079+00:00,2.1411,2.1397,0.0013999999999998458,0.5,0.5,59,13,0.9869444444444444,,,,,
2026-01-13T20:00:47.248193+00:00,2.1418,2.1397,0.0020999999999999908,0.515,0.49,59,12,0.9866666666666667,,,,,
2026-01-13T20:00:48.248393+00:00,2.1416,2.1397,0.0019000000000000128,0.5,0.5,59,11,0.9863888888888889,,,,,
2026-01-13T20:00:49.248626+00:00,2.1417,2.1397,0.002000000000000224,0.505,0.495,59,10,0.9861111111111112,,,,,
2026-01-13T20:00:50.248953+00:00,2.1416,2.1397,0.0019000000000000128,0.5,0.5,59,9,0.9858333333333333,,,,,
2026-01-13T20:00:51.249071+00:00,2.1416,2.1397,0.0019000000000000128,0.5,0.5,59,8,0.9855555555555555,,,,,
2026-01-13T20:00:52.249458+00:00,2.1417,2.1397,0.002000000000000224,0.505,0.495,59,7,0.9852777777777778,,,,,
2026-01-13T20:00:53.249852+00:00,2.1416,2.1397,0.0019000000000000128,0.5,0.5,59,6,0.985,,,,,
2026-01-13T20:00:54.250127+00:00,2.1418,2.1397,0.0020999999999999908,0.52,0.48,59,5,0.9847222222222223,,,,,
2026-01-13T20:00:55.250413+00:00,2.1419,2.1397,0.002200000000000202,0.52,0.48,59,4,0.9844444444444445,,,,,
2026-01-13T20:00:56.250690+00:00,2.1419,2.1397,0.002200000000000202,0.52,0.48,59,3,0.9841666666666666,,,,,
2026-01-13T20:00:57.250904+00:00,2.1419,2.1397,0.002200000000000202,0.52,0.48,59,2,0.9838888888888889,,,,,
2026-01-13T20:00:58.251179+00:00,2.142,2.1397,0.0022999999999999687,0.52,0.485,59,1,0.9836111111111111,,,,,
2026-01-13T20:00:59.251569+00:00,2.1423,2.1397,0.0026000000000001577,0.53,0.47,59,0,0.9833333333333333,,,,,
2026-01-13T20:01:00.251684+00:00,2.1422,2.1397,0.0024999999999999467,0.53,0.475,58,59,0.9830555555555556,,,,,
2026-01-13T20:01:01.251738+00:00,2.1422,2.1397,0.0024999999999999467,0.525,0.475,58,58,0.9827777777777778,,,,,
2026-01-13T20:01:02.252329+00:00,2.142,2.1397,0.0022999999999999687,0.53,0.47,58,57,0.9825,,,,,
2026-01-13T20:01:03.252816+00:00,2.1423,2.1397,0.0026000000000001577,0.535,0.465,58,56,0.9822222222222222,,,,,
2026-01-13T20:01:04.253107+00:00,2.1425,2.1397,0.0028000000000001357,0.54,0.46,58,55,0.9819444444444444,,,,,
2026-01-13T20:01:05.253265+00:00,2.1428,2.1397,0.0030999999999998806,0.54,0.46,58,54,0.9816666666666667,,,,,
2026-01-13T20:01:06.253658+00:00,2.1428,2.1397,0.0030999999999998806,0.54,0.455,58,53,0.9813888888888889,,,,,
2026-01-13T20:01:07.253797+00:00,2.1437,2.1397,0.0040000000000000036,0.56,0.44,58,52,0.9811111111111112,,,,,
2026-01-13T20:01:08.253964+00:00,2.1438,2.1397,0.004100000000000215,0.565,0.435,58,51,0.9808333333333333,,,,,
2026-01-13T20:01:09.254349+00:00,2.1438,2.1397,0.004100000000000215,0.57,0.43,58,50,0.9805555555555555,,,,,
2026-01-13T20:01:10.254740+00:00,2.1439,2.1397,0.0041999999999999815,0.57,0.43,58,49,0.9802777777777778,,,,,
2026-01-13T20:01:11.423008+00:00,2.1441,2.1397,0.0043999999999999595,0.57,0.43,58,48,0.98,,,,,
2026-01-13T20:01:12.258719+00:00,2.144,2.1397,0.0043000000000001926,0.575,0.43,58,47,0.9797222222222223,,,,,
2026-01-13T20:01:13.258925+00:00,2.1441,2.1397,0.0043999999999999595,0.57,0.43,58,46,0.9794444444444445,,,,,
2026-01-13T20:01:14.259247+00:00,2.144,2.1397,0.0043000000000001926,0.57,0.435,58,45,0.9791666666666666,,,,,
2026-01-13T20:01:15.259710+00:00,2.1438,2.1397,0.004100000000000215,0.565,0.43,58,44,0.9788888888888889,,,,,
2026-01-13T20:01:16.259950+00:00,2.1441,2.1397,0.0043999999999999595,0.57,0.43,58,43,0.9786111111111111,,,,,
2026-01-13T20:01:17.260316+00:00,2.144,2.1397,0.0043000000000001926,0.57,0.43,58,42,0.9783333333333334,,,,,
2026-01-13T20:01:18.260597+00:00,2.1434,2.1397,0.0037000000000002586,0.55,0.44,58,41,0.9780555555555556,,,,,
2026-01-13T20:01:19.260961+00:00,2.1437,2.1397,0.0040000000000000036,0.57,0.42,58,40,0.9777777777777777,,,,,
2026-01-13T20:01:20.261206+00:00,2.1445,2.1397,0.0047999999999999154,0.58,0.42,58,39,0.9775,,,,,
2026-01-13T20:01:21.261615+00:00,2.1448,2.1397,0.0051000000000001044,0.585,0.42,58,38,0.9772222222222222,,,,,
2026-01-13T20:01:22.262013+00:00,2.1447,2.1397,0.004999999999999893,0.58,0.42,58,37,0.9769444444444444,,,,,
2026-01-13T20:01:23.262062+00:00,2.1445,2.1397,0.0047999999999999154,0.58,0.42,58,36,0.9766666666666667,,,,,
2026-01-13T20:01:24.262107+00:00,2.1447,2.1397,0.004999999999999893,0.59,0.41,58,35,0.9763888888888889,,,,,
2026-01-13T20:01:25.262604+00:00,2.1454,2.1397,0.005700000000000038,0.6,0.4,58,34,0.9761111111111112,,,,,
2026-01-13T20:01:26.262700+00:00,2.1448,2.1397,0.0051000000000001044,0.6,0.4,58,33,0.9758333333333333,,,,,
