ts_utc,price,strike,diff,yes_mid,no_mid,minutes_left,seconds_left,time_left_frac,log_rv_15m,log_rv_1h,log_rv_4h,log_rv_rem_hat,prob_up_model
2026-01-14T16:00:11.183087+00:00,2.1571,2.1563,0.0007999999999999119,0.495,0.505,59,48,0.9966666666666667,-11.060255200630385,-9.234910983854952,-8.314056402593119,-2.9346989070281992,0.5006419066911735
2026-01-14T16:00:12.183492+00:00,2.1572,2.1563,0.0009000000000001229,0.505,0.49,59,47,0.9963888888888889,-11.060255200630385,-9.234910983854952,-8.314056402593119,-2.934533878092992,0.5007220686220099
2026-01-14T16:00:13.183686+00:00,2.1572,2.1563,0.0009000000000001229,0.5,0.49,59,46,0.9961111111111111,-11.060255200630385,-9.234910983854952,-8.314056402593119,-2.93436912299099,0.5007220091422799
2026-01-14T16:00:14.183859+00:00,2.1566,2.1563,0.000300000000000189,0.505,0.49,59,45,0.9958333333333333,-11.060255200630385,-9.234910983854952,-8.314056402593119,-2.9342046418367396,0.5002406835143987
2026-01-14T16:00:15.183941+00:00,2.157,2.1563,0.000700000000000145,0.505,0.495,59,44,0.9955555555555555,-11.06067033749405,-9.238059153081739,-8.314084102893126,-2.9351817542877807,0.5005618170512913
2026-01-14T16:00:16.184468+00:00,2.1571,2.1563,0.0007999999999999119,0.515,0.485,59,43,0.9952777777777778,-11.06067033749405,-9.238059153081739,-8.314084102893126,-2.9350178213730107,0.5006420090558723
2026-01-14T16:00:17.184655+00:00,2.1571,2.1563,0.0007999999999999119,0.51,0.49,59,42,0.995,-11.06067033749405,-9.238059153081739,-8.314084102893126,-2.9348541627501277,0.500641956522908
2026-01-14T16:00:18.185045+00:00,2.1571,2.1563,0.0007999999999999119,0.505,0.495,59,41,0.9947222222222222,-11.06067033749405,-9.238059153081739,-8.314084102893126,-2.934690778533998,0.5006419040823136
2026-01-14T16:00:19.185260+00:00,2.157,2.1563,0.000700000000000145,0.5,0.495,59,40,0.9944444444444445,-11.06067033749405,-9.238059153081739,-8.314084102893126,-2.934527668839573,0.5005616333432756
2026-01-14T16:00:20.185559+00:00,2.1569,2.1563,0.0005999999999999339,0.505,0.49,59,39,0.9941666666666666,-11.061776391378844,-9.2594736046429,-8.314075331293758,-2.941223441931786,0.5004830256209236
2026-01-14T16:00:21.185749+00:00,2.1568,2.1563,0.000500000000000167,0.505,0.495,59,38,0.9938888888888889,-11.061776391378844,-9.2594736046429,-8.314075331293758,-2.941060881625951,0.5004024979961371
2026-01-14T16:00:22.185881+00:00,2.1569,2.1563,0.0005999999999999339,0.51,0.495,59,37,0.9936111111111111,-11.061776391378844,-9.2594736046429,-8.314075331293758,-2.9408985961871554,0.5004829471729242
2026-01-14T16:00:23.186174+00:00,2.1569,2.1563,0.0005999999999999339,0.505,0.495,59,36,0.9933333333333333,-11.061776391378844,-9.2594736046429,-8.314075331293758,-2.9407365857306758,0.5004829080532818
2026-01-14T16:00:24.186698+00:00,2.1569,2.1563,0.0005999999999999339,0.51,0.49,59,35,0.9930555555555556,-11.061776391378844,-9.2594736046429,-8.314075331293758,-2.940574850371858,0.5004828690032261
2026-01-14T16:00:25.186891+00:00,2.157,2.1563,0.000700000000000145,0.505,0.5,59,34,0.9927777777777778,-11.070518640094706,-9.26218545508157,-8.31406655977133,-2.945693178142486,0.5005647775709057
2026-01-14T16:00:26.187176+00:00,2.1568,2.1563,0.000500000000000167,0.5,0.505,59,33,0.9925,-11.070518640094706,-9.26218545508157,-8.31406655977133,-2.945531993325387,0.5004033988091142
2026-01-14T16:00:27.187363+00:00,2.1566,2.1563,0.000300000000000189,0.5,0.5,59,32,0.9922222222222222,-11.070518640094706,-9.26218545508157,-8.31406655977133,-2.9453710839524962,0.5002420310618272
2026-01-14T16:00:28.187627+00:00,2.1565,2.1563,0.00019999999999997797,0.5,0.5,59,31,0.9919444444444444,-11.070518640094706,-9.26218545508157,-8.31406655977133,-2.9452104501394913,0.5001613448286178
2026-01-14T16:00:29.188128+00:00,2.1566,2.1563,0.000300000000000189,0.505,0.49,59,30,0.9916666666666667,-11.070518640094706,-9.26218545508157,-8.31406655977133,-2.945050092002127,0.5002419922199378
2026-01-14T16:00:30.188176+00:00,2.1568,2.1563,0.000500000000000167,0.5,0.5,59,29,0.9913888888888889,-11.07219688539626,-9.267200031757234,-8.31425946606988,-2.947247545665176,0.5004037449833303
