ts_utc,price,strike,diff,yes_mid,no_mid,minutes_left,seconds_left,time_left_frac,log_rv_15m,log_rv_1h,log_rv_4h,log_rv_rem_hat,prob_up_model
2026-01-14T00:08:26.368324+00:00,2.1647,2.1656,-0.0009000000000001229,0.445,0.555,51,33,0.8591666666666666,,,,,
2026-01-14T00:08:27.368557+00:00,2.1646,2.1656,-0.0009999999999998899,0.45,0.55,51,32,0.8588888888888889,,,,,
2026-01-14T00:08:28.369368+00:00,2.1646,2.1656,-0.0009999999999998899,0.45,0.55,51,31,0.8586111111111111,,,,,
2026-01-14T00:08:29.369975+00:00,2.1647,2.1656,-0.0009000000000001229,0.445,0.555,51,30,0.8583333333333333,,,,,
2026-01-14T00:08:30.370285+00:00,2.1644,2.1656,-0.0011999999999998678,0.445,0.56,51,29,0.8580555555555556,,,,,
2026-01-14T00:08:31.370928+00:00,2.1647,2.1656,-0.0009000000000001229,0.45,0.55,51,28,0.8577777777777778,,,,,
2026-01-14T00:08:32.371476+00:00,2.1648,2.1656,-0.0007999999999999119,0.45,0.55,51,27,0.8575,,,,,
2026-01-14T00:08:33.371667+00:00,2.1648,2.1656,-0.0007999999999999119,0.45,0.55,51,26,0.8572222222222222,,,,,
2026-01-14T00:08:34.371738+00:00,2.1648,2.1656,-0.0007999999999999119,0.45,0.55,51,25,0.8569444444444444,,,,,
2026-01-14T00:08:35.371820+00:00,2.1648,2.1656,-0.0007999999999999119,0.45,0.55,51,24,0.8566666666666667,,,,,
2026-01-14T00:08:36.371862+00:00,2.1649,2.1656,-0.000700000000000145,0.45,0.55,51,23,0.8563888888888889,,,,,
2026-01-14T00:08:37.371957+00:00,2.1646,2.1656,-0.0009999999999998899,0.445,0.555,51,22,0.8561111111111112,,,,,
2026-01-14T00:08:38.372046+00:00,2.1645,2.1656,-0.001100000000000101,0.445,0.555,51,21,0.8558333333333333,,,,,
2026-01-14T00:08:39.372225+00:00,2.1645,2.1656,-0.001100000000000101,0.445,0.555,51,20,0.8555555555555555,,,,,
2026-01-14T00:08:40.372514+00:00,2.1643,2.1656,-0.0013000000000000789,0.435,0.565,51,19,0.8552777777777778,,,,,
2026-01-14T00:08:41.372461+00:00,2.1642,2.1656,-0.0013999999999998458,0.435,0.565,51,18,0.855,,,,,
2026-01-14T00:08:42.372722+00:00,2.1643,2.1656,-0.0013000000000000789,0.44,0.56,51,17,0.8547222222222223,,,,,
2026-01-14T00:08:43.372906+00:00,2.1643,2.1656,-0.0013000000000000789,0.44,0.55,51,16,0.8544444444444445,,,,,
2026-01-14T00:08:44.373097+00:00,2.1647,2.1656,-0.0009000000000001229,0.45,0.55,51,15,0.8541666666666666,,,,,
2026-01-14T00:08:45.373337+00:00,2.1646,2.1656,-0.0009999999999998899,0.44,0.56,51,14,0.8538888888888889,,,,,
2026-01-14T00:08:46.373939+00:00,2.1646,2.1656,-0.0009999999999998899,0.45,0.55,51,13,0.8536111111111111,,,,,
2026-01-14T00:08:47.374135+00:00,2.1649,2.1656,-0.000700000000000145,0.455,0.545,51,12,0.8533333333333334,,,,,
2026-01-14T00:08:48.374346+00:00,2.1649,2.1656,-0.000700000000000145,0.45,0.55,51,11,0.8530555555555556,,,,,
2026-01-14T00:08:49.374695+00:00,2.1652,2.1656,-0.00039999999999995595,0.455,0.545,51,10,0.8527777777777777,,,,,
2026-01-14T00:08:50.375306+00:00,2.1652,2.1656,-0.00039999999999995595,0.46,0.54,51,9,0.8525,,,,,
2026-01-14T00:08:51.375823+00:00,2.1652,2.1656,-0.00039999999999995595,0.465,0.535,51,8,0.8522222222222222,,,,,
2026-01-14T00:08:52.376027+00:00,2.1652,2.1656,-0.00039999999999995595,0.46,0.54,51,7,0.8519444444444444,,,,,
2026-01-14T00:08:53.376365+00:00,2.1652,2.1656,-0.00039999999999995595,0.46,0.54,51,6,0.8516666666666667,,,,,
2026-01-14T00:08:54.376465+00:00,2.1652,2.1656,-0.00039999999999995595,0.46,0.54,51,5,0.8513888888888889,,,,,
2026-01-14T00:08:55.376545+00:00,2.1652,2.1656,-0.00039999999999995595,0.46,0.54,51,4,0.8511111111111112,,,,,
2026-01-14T00:08:56.376628+00:00,2.1652,2.1656,-0.00039999999999995595,0.46,0.54,51,3,0.8508333333333333,,,,,
2026-01-14T00:08:57.376830+00:00,2.1656,2.1656,0.0,0.47,0.53,51,2,0.8505555555555555,,,,,
2026-01-14T00:08:58.377004+00:00,2.1656,2.1656,0.0,0.47,0.53,51,1,0.8502777777777778,,,,,
2026-01-14T00:08:59.377044+00:00,2.1656,2.1656,0.0,0.465,0.535,51,0,0.85,,,,,
2026-01-14T00:09:00.377238+00:00,2.1655,2.1656,-9.999999999976694e-05,0.47,0.53,50,59,0.8497222222222223,,,,,
2026-01-14T00:09:01.377541+00:00,2.1658,2.1656,0.00019999999999997797,0.485,0.515,50,58,0.8494444444444444,,,,,
2026-01-14T00:09:02.377717+00:00,2.166,2.1656,0.00039999999999995595,0.485,0.515,50,57,0.8491666666666666,,,,,
2026-01-14T00:09:03.377807+00:00,2.166,2.1656,0.00039999999999995595,0.485,0.515,50,56,0.8488888888888889,,,,,
2026-01-14T00:09:04.378094+00:00,2.1657,2.1656,0.00010000000000021103,0.485,0.53,50,55,0.8486111111111111,,,,,
2026-01-14T00:09:05.378139+00:00,2.1656,2.1656,0.0,0.47,0.53,50,54,0.8483333333333334,,,,,
2026-01-14T00:09:06.378426+00:00,2.1656,2.1656,0.0,0.47,0.53,50,53,0.8480555555555556,,,,,
2026-01-14T00:09:07.378579+00:00,2.1655,2.1656,-9.999999999976694e-05,0.47,0.53,50,52,0.8477777777777777,,,,,
2026-01-14T00:09:08.378856+00:00,2.1656,2.1656,0.0,0.47,0.52,50,51,0.8475,,,,,
2026-01-14T00:09:09.379202+00:00,2.1656,2.1656,0.0,0.465,0.535,50,50,0.8472222222222222,,,,,
2026-01-14T00:09:10.379402+00:00,2.1653,2.1656,-0.000300000000000189,0.465,0.535,50,49,0.8469444444444445,,,,,
2026-01-14T00:09:11.379957+00:00,2.1654,2.1656,-0.00019999999999997797,0.47,0.53,50,48,0.8466666666666667,,,,,
2026-01-14T00:09:12.380752+00:00,2.1655,2.1656,-9.999999999976694e-05,0.47,0.53,50,47,0.8463888888888889,,,,,
2026-01-14T00:09:13.380844+00:00,2.1655,2.1656,-9.999999999976694e-05,0.48,0.515,50,46,0.8461111111111111,,,,,
2026-01-14T00:09:14.381111+00:00,2.1657,2.1656,0.00010000000000021103,0.485,0.515,50,45,0.8458333333333333,,,,,
2026-01-14T00:09:15.381521+00:00,2.1656,2.1656,0.0,0.47,0.53,50,44,0.8455555555555555,,,,,
2026-01-14T00:09:16.381730+00:00,2.1657,2.1656,0.00010000000000021103,0.47,0.53,50,43,0.8452777777777778,,,,,
2026-01-14T00:09:17.381980+00:00,2.1656,2.1656,0.0,0.47,0.53,50,42,0.845,,,,,
2026-01-14T00:09:18.382341+00:00,2.1655,2.1656,-9.999999999976694e-05,0.47,0.53,50,41,0.8447222222222223,,,,,
2026-01-14T00:09:19.382602+00:00,2.1655,2.1656,-9.999999999976694e-05,0.47,0.53,50,40,0.8444444444444444,,,,,
2026-01-14T00:09:20.382773+00:00,2.1655,2.1656,-9.999999999976694e-05,0.47,0.53,50,39,0.8441666666666666,,,,,
2026-01-14T00:09:21.383054+00:00,2.1655,2.1656,-9.999999999976694e-05,0.47,0.53,50,38,0.8438888888888889,,,,,
2026-01-14T00:09:22.383160+00:00,2.1654,2.1656,-0.00019999999999997797,0.475,0.525,50,37,0.8436111111111111,,,,,
2026-01-14T00:09:23.383662+00:00,2.1654,2.1656,-0.00019999999999997797,0.47,0.53,50,36,0.8433333333333334,,,,,
2026-01-14T00:09:24.384258+00:00,2.1655,2.1656,-9.999999999976694e-05,0.47,0.53,50,35,0.8430555555555556,,,,,
2026-01-14T00:09:25.384572+00:00,2.1657,2.1656,0.00010000000000021103,0.48,0.52,50,34,0.8427777777777777,,,,,
2026-01-14T00:09:26.567068+00:00,2.1654,2.1656,-0.00019999999999997797,0.47,0.53,50,33,0.8425,,,,,
2026-01-14T00:09:27.391814+00:00,2.1654,2.1656,-0.00019999999999997797,0.47,0.53,50,32,0.8422222222222222,,,,,
2026-01-14T00:09:28.392964+00:00,2.1658,2.1656,0.00019999999999997797,0.48,0.52,50,31,0.8419444444444445,,,,,
2026-01-14T00:09:29.393103+00:00,2.1665,2.1656,0.0009000000000001229,0.5,0.5,50,30,0.8416666666666667,,,,,
2026-01-14T00:09:30.393370+00:00,2.1666,2.1656,0.0009999999999998899,0.5,0.5,50,29,0.8413888888888889,,,,,
2026-01-14T00:09:31.393624+00:00,2.1666,2.1656,0.0009999999999998899,0.5,0.5,50,28,0.8411111111111111,,,,,
2026-01-14T00:09:32.393892+00:00,2.1665,2.1656,0.0009000000000001229,0.5,0.505,50,27,0.8408333333333333,,,,,
2026-01-14T00:09:33.394084+00:00,2.1661,2.1656,0.000500000000000167,0.49,0.51,50,26,0.8405555555555555,,,,,
2026-01-14T00:09:34.394277+00:00,2.1664,2.1656,0.0007999999999999119,0.49,0.51,50,25,0.8402777777777778,,,,,
2026-01-14T00:09:35.394823+00:00,2.1665,2.1656,0.0009000000000001229,0.5,0.51,50,24,0.84,,,,,
2026-01-14T00:09:36.395084+00:00,2.1657,2.1656,0.00010000000000021103,0.475,0.525,50,23,0.8397222222222223,,,,,
2026-01-14T00:09:37.395416+00:00,2.1654,2.1656,-0.00019999999999997797,0.475,0.525,50,22,0.8394444444444444,,,,,
2026-01-14T00:09:38.395562+00:00,2.1654,2.1656,-0.00019999999999997797,0.475,0.525,50,21,0.8391666666666666,,,,,
2026-01-14T00:09:39.395799+00:00,2.1658,2.1656,0.00019999999999997797,0.485,0.51,50,20,0.8388888888888889,,,,,
2026-01-14T00:09:40.396253+00:00,2.1664,2.1656,0.0007999999999999119,0.495,0.51,50,19,0.8386111111111111,,,,,
2026-01-14T00:09:41.396787+00:00,2.1662,2.1656,0.0005999999999999339,0.49,0.51,50,18,0.8383333333333334,,,,,
2026-01-14T00:09:42.397068+00:00,2.1662,2.1656,0.0005999999999999339,0.49,0.51,50,17,0.8380555555555556,,,,,
2026-01-14T00:09:43.397351+00:00,2.1661,2.1656,0.000500000000000167,0.49,0.51,50,16,0.8377777777777777,,,,,
2026-01-14T00:09:44.397546+00:00,2.166,2.1656,0.00039999999999995595,0.49,0.51,50,15,0.8375,,,,,
2026-01-14T00:09:45.398223+00:00,2.166,2.1656,0.00039999999999995595,0.485,0.515,50,14,0.8372222222222222,,,,,
2026-01-14T00:09:46.398499+00:00,2.1658,2.1656,0.00019999999999997797,0.485,0.515,50,13,0.8369444444444445,,,,,
2026-01-14T00:09:47.398595+00:00,2.1658,2.1656,0.00019999999999997797,0.485,0.515,50,12,0.8366666666666667,,,,,
2026-01-14T00:09:48.398864+00:00,2.1658,2.1656,0.00019999999999997797,0.485,0.515,50,11,0.8363888888888888,,,,,
2026-01-14T00:09:49.399102+00:00,2.1659,2.1656,0.000300000000000189,0.49,0.51,50,10,0.8361111111111111,,,,,
2026-01-14T00:09:50.399254+00:00,2.1659,2.1656,0.000300000000000189,0.49,0.51,50,9,0.8358333333333333,,,,,
2026-01-14T00:09:51.399430+00:00,2.166,2.1656,0.00039999999999995595,0.49,0.51,50,8,0.8355555555555556,,,,,
2026-01-14T00:09:52.399733+00:00,2.1662,2.1656,0.0005999999999999339,0.49,0.51,50,7,0.8352777777777778,,,,,
2026-01-14T00:09:53.399915+00:00,2.1662,2.1656,0.0005999999999999339,0.49,0.51,50,6,0.835,,,,,
2026-01-14T00:09:54.399996+00:00,2.1661,2.1656,0.000500000000000167,0.485,0.515,50,5,0.8347222222222223,,,,,
2026-01-14T00:09:55.400153+00:00,2.1663,2.1656,0.000700000000000145,0.5,0.5,50,4,0.8344444444444444,,,,,
2026-01-14T00:09:56.400348+00:00,2.1664,2.1656,0.0007999999999999119,0.5,0.5,50,3,0.8341666666666666,,,,,
2026-01-14T00:09:57.400419+00:00,2.1664,2.1656,0.0007999999999999119,0.5,0.5,50,2,0.8338888888888889,,,,,
2026-01-14T00:09:58.400602+00:00,2.1664,2.1656,0.0007999999999999119,0.495,0.505,50,1,0.8336111111111111,,,,,
2026-01-14T00:09:59.400804+00:00,2.1663,2.1656,0.000700000000000145,0.49,0.51,50,0,0.8333333333333334,,,,,
2026-01-14T00:10:00.401056+00:00,2.1663,2.1656,0.000700000000000145,0.49,0.51,49,59,0.8330555555555555,,,,,
2026-01-14T00:10:01.401252+00:00,2.1663,2.1656,0.000700000000000145,0.49,0.51,49,58,0.8327777777777777,,,,,
2026-01-14T00:10:02.401431+00:00,2.1663,2.1656,0.000700000000000145,0.49,0.51,49,57,0.8325,,,,,
2026-01-14T00:10:03.401621+00:00,2.1661,2.1656,0.000500000000000167,0.49,0.51,49,56,0.8322222222222222,,,,,
2026-01-14T00:10:04.402082+00:00,2.1661,2.1656,0.000500000000000167,0.49,0.51,49,55,0.8319444444444445,,,,,
2026-01-14T00:10:05.402184+00:00,2.1661,2.1656,0.000500000000000167,0.49,0.51,49,54,0.8316666666666667,,,,,
2026-01-14T00:10:06.402364+00:00,2.1662,2.1656,0.0005999999999999339,0.495,0.51,49,53,0.8313888888888888,,,,,
2026-01-14T00:10:07.402437+00:00,2.1663,2.1656,0.000700000000000145,0.49,0.51,49,52,0.8311111111111111,,,,,
2026-01-14T00:10:08.403368+00:00,2.1663,2.1656,0.000700000000000145,0.49,0.51,49,51,0.8308333333333333,,,,,
2026-01-14T00:10:09.403564+00:00,2.1662,2.1656,0.0005999999999999339,0.5,0.5,49,50,0.8305555555555556,,,,,
2026-01-14T00:10:10.403736+00:00,2.1669,2.1656,0.0013000000000000789,0.52,0.48,49,49,0.8302777777777778,,,,,
2026-01-14T00:10:11.404004+00:00,2.1676,2.1656,0.002000000000000224,0.53,0.47,49,48,0.83,,,,,
2026-01-14T00:10:12.404035+00:00,2.1677,2.1656,0.0020999999999999908,0.53,0.47,49,47,0.8297222222222222,,,,,
2026-01-14T00:10:13.404163+00:00,2.1677,2.1656,0.0020999999999999908,0.53,0.47,49,46,0.8294444444444444,,,,,
2026-01-14T00:10:14.404446+00:00,2.1677,2.1656,0.0020999999999999908,0.53,0.465,49,45,0.8291666666666667,,,,,
2026-01-14T00:10:15.405027+00:00,2.1682,2.1656,0.0026000000000001577,0.555,0.445,49,44,0.8288888888888889,,,,,
2026-01-14T00:10:16.405193+00:00,2.1682,2.1656,0.0026000000000001577,0.54,0.46,49,43,0.8286111111111111,,,,,
2026-01-14T00:10:17.405282+00:00,2.1679,2.1656,0.0022999999999999687,0.53,0.465,49,42,0.8283333333333334,,,,,
2026-01-14T00:10:18.405480+00:00,2.1675,2.1656,0.0019000000000000128,0.525,0.48,49,41,0.8280555555555555,,,,,
2026-01-14T00:10:19.405749+00:00,2.1676,2.1656,0.002000000000000224,0.53,0.48,49,40,0.8277777777777777,,,,,
2026-01-14T00:10:20.405939+00:00,2.167,2.1656,0.0013999999999998458,0.51,0.49,49,39,0.8275,,,,,
2026-01-14T00:10:21.406135+00:00,2.167,2.1656,0.0013999999999998458,0.51,0.49,49,38,0.8272222222222222,,,,,
2026-01-14T00:10:22.406456+00:00,2.1671,2.1656,0.0015000000000000568,0.51,0.49,49,37,0.8269444444444445,,,,,
