ts_utc,price,strike,diff,yes_mid,no_mid,minutes_left,seconds_left,time_left_frac,log_rv_15m,log_rv_1h,log_rv_4h,log_rv_rem_hat,prob_up_model
2026-01-14T23:00:11.334550+00:00,2.1363,2.1357,0.0005999999999999339,0.53,0.47,59,48,0.9966666666666667,-12.223915316357122,-10.663036025273232,-8.697955248205899,-3.9975105890150004,0.5008270050370691
2026-01-14T23:00:12.334942+00:00,2.1364,2.1357,0.000700000000000145,0.53,0.47,59,47,0.9963888888888889,-12.223915316357122,-10.663036025273232,-8.697955248205899,-3.9973455600797934,0.5009647367701853
2026-01-14T23:00:13.335139+00:00,2.1364,2.1357,0.000700000000000145,0.53,0.47,59,46,0.9961111111111111,-12.223915316357122,-10.663036025273232,-8.697955248205899,-3.9971808049777913,0.500964657300961
2026-01-14T23:00:14.335434+00:00,2.1364,2.1357,0.000700000000000145,0.53,0.47,59,45,0.9958333333333333,-12.223915316357122,-10.663036025273232,-8.697955248205899,-3.9970163238235408,0.5009645779704046
2026-01-14T23:00:15.335895+00:00,2.1363,2.1357,0.0005999999999999339,0.53,0.47,59,44,0.9955555555555555,-12.24013977734925,-10.663406783648611,-8.698007515599079,-4.005289086475946,0.5008302277235779
2026-01-14T23:00:16.336648+00:00,2.1363,2.1357,0.0005999999999999339,0.53,0.47,59,43,0.9952777777777778,-12.24013977734925,-10.663406783648611,-8.698007515599079,-4.005125153561176,0.5008301596756396
2026-01-14T23:00:17.336818+00:00,2.1363,2.1357,0.0005999999999999339,0.53,0.47,59,42,0.995,-12.24013977734925,-10.663406783648611,-8.698007515599079,-4.004961494938293,0.5008300917471222
2026-01-14T23:00:18.337093+00:00,2.1363,2.1357,0.0005999999999999339,0.53,0.47,59,41,0.9947222222222222,-12.24013977734925,-10.663406783648611,-8.698007515599079,-4.004798110722163,0.5008300239380452
2026-01-14T23:00:19.337372+00:00,2.1375,2.1357,0.0018000000000002458,0.56,0.44,59,40,0.9944444444444445,-12.24013977734925,-10.663406783648611,-8.698007515599079,-4.004635001027738,0.5024891553160777
2026-01-14T23:00:20.337567+00:00,2.1375,2.1357,0.0018000000000002458,0.565,0.43,59,39,0.9941666666666666,-12.178631702096833,-10.650835475866563,-8.696237437425271,-3.969016446619136,0.5024452182243795
2026-01-14T23:00:21.337956+00:00,2.1374,2.1357,0.0017000000000000348,0.585,0.415,59,38,0.9938888888888889,-12.178631702096833,-10.650835475866563,-8.696237437425271,-3.9688538863132976,0.5023092406576353
2026-01-14T23:00:22.338318+00:00,2.1375,2.1357,0.0018000000000002458,0.585,0.415,59,37,0.9936111111111111,-12.178631702096833,-10.650835475866563,-8.696237437425271,-3.968691600874502,0.5024448211022361
2026-01-14T23:00:23.338584+00:00,2.1368,2.1357,0.001100000000000101,0.585,0.415,59,36,0.9933333333333333,-12.178631702096833,-10.650835475866563,-8.696237437425271,-3.9685295904180222,0.5014941868868397
2026-01-14T23:00:24.338768+00:00,2.1366,2.1357,0.0009000000000001229,0.54,0.46,59,35,0.9930555555555556,-12.178631702096833,-10.650835475866563,-8.696237437425271,-3.968367855059208,0.5012224758470079
2026-01-14T23:00:25.339134+00:00,2.1366,2.1357,0.0009000000000001229,0.54,0.46,59,34,0.9927777777777778,-12.14511490148289,-10.64346474350189,-8.695294639022197,-3.9487356756214336,0.5012105346552136
2026-01-14T23:00:26.339367+00:00,2.1366,2.1357,0.0009000000000001229,0.54,0.46,59,33,0.9925,-12.14511490148289,-10.64346474350189,-8.695294639022197,-3.948574490804331,0.5012104370995407
2026-01-14T23:00:27.339798+00:00,2.1366,2.1357,0.0009000000000001229,0.54,0.46,59,32,0.9922222222222222,-12.14511490148289,-10.64346474350189,-8.695294639022197,-3.9484135814314403,0.5012103397184196
2026-01-14T23:00:28.340246+00:00,2.137,2.1357,0.0013000000000000789,0.555,0.435,59,31,0.9919444444444444,-12.14511490148289,-10.64346474350189,-8.695294639022197,-3.948252947618439,0.5017479615335014
2026-01-14T23:00:29.340440+00:00,2.137,2.1357,0.0013000000000000789,0.55,0.45,59,30,0.9916666666666667,-12.14511490148289,-10.64346474350189,-8.695294639022197,-3.9480925894810746,0.5017478213900886
2026-01-14T23:00:30.340813+00:00,2.1371,2.1357,0.00140000000000029,0.56,0.44,59,29,0.9913888888888889,-12.13486497670771,-10.641172334741572,-8.695802381433671,-3.942062866389888,0.5018765581266587
2026-01-14T23:00:31.341002+00:00,2.1371,2.1357,0.00140000000000029,0.55,0.45,59,28,0.9911111111111112,-12.13486497670771,-10.641172334741572,-8.695802381433671,-3.9419030599514056,0.5018764081907193
2026-01-14T23:00:32.341582+00:00,2.1371,2.1357,0.00140000000000029,0.55,0.45,59,27,0.9908333333333333,-12.13486497670771,-10.641172334741572,-8.695802381433671,-3.9417435295363266,0.5018762585257033
